pc_received_time,device,timestamp,epoch,time_label,elapsed_s,temp_c,rh_percent,co2_ppm,pressure_hpa,vpd_kpa,air_velocity_ms,par_raw,par_umol_m2_s,fan_speed_percent,fan_rpm,fan_dac_v
2026-06-06 00:02:25,DREAM_Sensors_1,2026-06-06 00:02:24,1780704144,00:02:24,27634.4,21.77,56.55,439.0,1014.5,1.133,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:25,DREAM_BotFan_1,2026-06-06 00:02:24,1780704144,2026-06-06 00:02:24,18572.6,22.73,52.13,439.0,NAN,1.323,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:02:30,DREAM_Sensors_1,2026-06-06 00:02:29,1780704149,00:02:29,27639.5,21.78,56.51,441.0,1014.5,1.134,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:30,DREAM_BotFan_1,2026-06-06 00:02:29,1780704149,2026-06-06 00:02:29,18577.6,22.76,52.14,446.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:02:34,DREAM_Sensors_1,2026-06-06 00:02:34,1780704154,00:02:34,27644.5,21.79,56.50,441.0,1014.5,1.135,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:35,DREAM_BotFan_1,2026-06-06 00:02:34,1780704154,2026-06-06 00:02:34,18582.6,22.75,52.14,451.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:02:39,DREAM_Sensors_1,2026-06-06 00:02:39,1780704159,00:02:39,27649.5,21.80,56.47,442.0,1014.51,1.137,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:40,DREAM_BotFan_1,2026-06-06 00:02:39,1780704159,2026-06-06 00:02:39,18587.6,22.76,52.15,447.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:02:44,DREAM_Sensors_1,2026-06-06 00:02:44,1780704164,00:02:44,27654.4,21.81,56.45,440.0,1014.5,1.138,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:45,DREAM_BotFan_1,2026-06-06 00:02:44,1780704164,2026-06-06 00:02:44,18592.6,22.77,52.17,462.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:02:49,DREAM_Sensors_1,2026-06-06 00:02:49,1780704169,00:02:49,27659.5,21.83,56.43,441.0,1014.5,1.140,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:50,DREAM_BotFan_1,2026-06-06 00:02:49,1780704169,2026-06-06 00:02:49,18597.6,22.75,52.13,466.0,NAN,1.324,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:02:55,DREAM_Sensors_1,2026-06-06 00:02:54,1780704174,00:02:54,27664.5,21.84,56.38,441.0,1014.5,1.142,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:02:55,DREAM_BotFan_1,2026-06-06 00:02:54,1780704174,2026-06-06 00:02:54,18602.6,22.76,52.15,465.0,NAN,1.325,NAN,NAN,NAN,80.0,5202.9,8.0
2026-06-06 00:03:00,DREAM_Sensors_1,2026-06-06 00:02:59,1780704179,00:02:59,27669.5,21.84,56.36,440.0,1014.51,1.143,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:00,DREAM_BotFan_1,2026-06-06 00:02:59,1780704179,2026-06-06 00:02:59,18607.6,22.75,52.17,463.0,NAN,1.324,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:03:05,DREAM_Sensors_1,2026-06-06 00:03:04,1780704184,00:03:04,27674.5,21.85,56.37,443.0,1014.5,1.143,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:05,DREAM_BotFan_1,2026-06-06 00:03:04,1780704184,2026-06-06 00:03:04,18612.6,22.76,52.15,458.0,NAN,1.325,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:03:10,DREAM_Sensors_1,2026-06-06 00:03:09,1780704189,00:03:09,27679.5,21.85,56.35,443.0,1014.51,1.144,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:10,DREAM_BotFan_1,2026-06-06 00:03:09,1780704189,2026-06-06 00:03:09,18617.6,22.75,52.16,465.0,NAN,1.324,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:03:15,DREAM_Sensors_1,2026-06-06 00:03:14,1780704194,00:03:14,27684.5,21.86,56.36,443.0,1014.5,1.144,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:15,DREAM_BotFan_1,2026-06-06 00:03:14,1780704194,2026-06-06 00:03:14,18622.6,22.77,52.15,460.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:03:20,DREAM_Sensors_1,2026-06-06 00:03:19,1780704199,00:03:19,27689.5,21.87,56.32,441.0,1014.5,1.146,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:20,DREAM_BotFan_1,2026-06-06 00:03:19,1780704199,2026-06-06 00:03:19,18627.6,22.74,52.12,456.0,NAN,1.324,NAN,NAN,NAN,80.0,5282.6,8.0
2026-06-06 00:03:25,DREAM_Sensors_1,2026-06-06 00:03:24,1780704204,00:03:24,27694.5,21.89,56.29,441.0,1014.51,1.148,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:25,DREAM_BotFan_1,2026-06-06 00:03:24,1780704204,2026-06-06 00:03:24,18632.6,22.75,52.13,454.0,NAN,1.325,NAN,NAN,NAN,80.0,5373.5,8.0
2026-06-06 00:03:30,DREAM_Sensors_1,2026-06-06 00:03:29,1780704209,00:03:29,27699.5,21.91,56.25,440.0,1014.51,1.150,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:31,DREAM_BotFan_1,2026-06-06 00:03:30,1780704210,2026-06-06 00:03:30,18638.6,22.76,52.12,460.0,NAN,1.326,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:03:35,DREAM_Sensors_1,2026-06-06 00:03:34,1780704214,00:03:34,27704.5,21.92,56.18,440.0,1014.51,1.153,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:36,DREAM_BotFan_1,2026-06-06 00:03:35,1780704215,2026-06-06 00:03:35,18643.6,22.73,52.12,458.0,NAN,1.323,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:03:40,DREAM_Sensors_1,2026-06-06 00:03:39,1780704219,00:03:39,27709.5,21.93,56.14,440.0,1014.51,1.155,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:41,DREAM_BotFan_1,2026-06-06 00:03:40,1780704220,2026-06-06 00:03:40,18648.6,22.74,52.08,480.0,NAN,1.326,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:03:45,DREAM_Sensors_1,2026-06-06 00:03:44,1780704224,00:03:44,27714.5,21.93,56.15,441.0,1014.51,1.155,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:46,DREAM_BotFan_1,2026-06-06 00:03:45,1780704225,2026-06-06 00:03:45,18653.6,22.76,52.14,476.0,NAN,1.325,NAN,NAN,NAN,80.0,5202.9,8.0
2026-06-06 00:03:50,DREAM_Sensors_1,2026-06-06 00:03:49,1780704229,00:03:49,27719.5,21.93,56.15,441.0,1014.51,1.155,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:51,DREAM_BotFan_1,2026-06-06 00:03:50,1780704230,2026-06-06 00:03:50,18658.6,22.76,52.14,477.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:03:55,DREAM_Sensors_1,2026-06-06 00:03:54,1780704234,00:03:54,27724.5,21.93,56.18,439.0,1014.51,1.154,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:03:56,DREAM_BotFan_1,2026-06-06 00:03:55,1780704235,2026-06-06 00:03:55,18663.6,22.73,52.15,470.0,NAN,1.323,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:04:00,DREAM_Sensors_1,2026-06-06 00:03:59,1780704239,00:03:59,27729.6,21.93,56.18,441.0,1014.51,1.153,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:01,DREAM_BotFan_1,2026-06-06 00:04:00,1780704240,2026-06-06 00:04:00,18668.6,22.75,52.12,466.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:04:05,DREAM_Sensors_1,2026-06-06 00:04:04,1780704244,00:04:04,27734.6,21.92,56.20,441.0,1014.51,1.153,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:06,DREAM_BotFan_1,2026-06-06 00:04:05,1780704245,2026-06-06 00:04:05,18673.6,22.74,52.12,462.0,NAN,1.324,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:04:10,DREAM_Sensors_1,2026-06-06 00:04:09,1780704249,00:04:09,27739.6,21.92,56.22,438.0,1014.51,1.152,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:11,DREAM_BotFan_1,2026-06-06 00:04:10,1780704250,2026-06-06 00:04:10,18678.6,22.74,52.10,466.0,NAN,1.325,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:04:15,DREAM_Sensors_1,2026-06-06 00:04:14,1780704254,00:04:14,27744.6,21.92,56.21,438.0,1014.51,1.152,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:16,DREAM_BotFan_1,2026-06-06 00:04:15,1780704255,2026-06-06 00:04:15,18683.6,22.75,52.16,467.0,NAN,1.324,NAN,NAN,NAN,80.0,5202.9,8.0
2026-06-06 00:04:20,DREAM_Sensors_1,2026-06-06 00:04:19,1780704259,00:04:19,27749.6,21.91,56.21,440.0,1014.5,1.151,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:21,DREAM_BotFan_1,2026-06-06 00:04:20,1780704260,2026-06-06 00:04:20,18688.6,22.76,52.13,463.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:04:25,DREAM_Sensors_1,2026-06-06 00:04:24,1780704264,00:04:24,27754.6,21.91,56.23,441.0,1014.5,1.151,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:26,DREAM_BotFan_1,2026-06-06 00:04:25,1780704265,2026-06-06 00:04:25,18693.6,22.74,52.08,472.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:04:30,DREAM_Sensors_1,2026-06-06 00:04:30,1780704270,00:04:30,27759.6,21.90,56.24,440.0,1014.5,1.150,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:31,DREAM_BotFan_1,2026-06-06 00:04:30,1780704270,2026-06-06 00:04:30,18698.6,22.76,52.14,469.0,NAN,1.325,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:04:35,DREAM_Sensors_1,2026-06-06 00:04:35,1780704275,00:04:35,27764.6,21.90,56.26,439.0,1014.5,1.149,NAN,NAN,NAN,NAN,NAN,NAN
